County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Yates,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,2000-2005,Protected Bird,not listed,S5B,G4,Recently Confirmed
Yates,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,not available,Special Concern,not listed,S2?B,G5,Historically Confirmed
Yates,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
